name,CD,hausdorff,p2f avg,p2f std
03337140.7ac63d16fe21f2a491c352d02061b3f7.xyz,0.00053638266,0.004268173,0.0017823904,0.002773755
04099429.e04bda8655d9e606ebcdf982796b4fa.xyz,0.00024015883,0.0059137857,0.0013452069,0.0025409574
02880940.cfac22c8ca3339b83ce5cb00b21d9584.xyz,0.00021358008,0.0012281376,0.0004013247,0.00047121829
02843684.ff90921e9631cd73c5c86021644af7b5.xyz,0.00075184,0.012411938,0.0028847544,0.0036480082
Gramme_aligned.xyz,0.00058816635,0.008629378,0.0049526887,0.007195722
03797390.85a2511c375b5b32f72755048bac3f96.xyz,0.0008415588,0.0063037295,0.0015351821,0.0016368233
m329.xyz,0.00025123538,0.0016281926,0.0018897888,0.0020553232
03513137.854adc84a21c0a1de8fe5a1391785bf6.xyz,0.00032773282,0.0059769405,0.001196499,0.0022235475
03046257.143e665cb61b96751311158f08f2982a.xyz,0.000189062,0.0025218055,0.0011805443,0.0018741216
04090263.2eb8897f028d20bda27aa199c0989017.xyz,0.00025887095,0.005658934,0.00193767,0.0023215641
duck.xyz,0.00046714843,0.0037757338,0.0019025601,0.0026138714
03797390.3c0467f96e26b8c6a93445a1757adf6.xyz,0.00045256034,0.0066215447,0.001209459,0.0019379583
02828884.dbacfce828f0598ad534c2812395a1c1.xyz,0.00049205543,0.004314512,0.0025393788,0.003675465
02871439.a65e62186ca1b1eea58c3abb1c7c441b.xyz,0.00068639906,0.009565635,0.002989841,0.009586039
03938244.f3833476297f19c664b3b9b23ddfcbc.xyz,0.00027535658,0.0018779419,0.0006761224,0.0008452029
04379243.bc38dd123d9d50ad8b17d6d1965c2fb6.xyz,0.00014949575,0.0010811227,0.00068097847,0.00079667266
camel.xyz,0.00018413979,0.0058890483,0.0024716898,0.0040781754
03211117.7cff26e6dc84bd02c598d38a6a69ad2.xyz,0.0003942262,0.004977823,0.0018619844,0.0029732867
04330267.ae6e6b33ef0f78d8c9a835319c0150eb.xyz,0.00058215647,0.0088539235,0.004936807,0.010732534
04225987.94fc692e0518c0b0537d393009a79347.xyz,0.00010756181,0.0042135096,0.00084871124,0.0015246455
02933112.23637357c4e5efb653c80c0a3ef7382.xyz,0.00030543964,0.0045596277,0.0008391666,0.0015902559
02801938.7a931ec996edbfeacb2a965e75be701c.xyz,0.0010580674,0.026820429,0.0031395024,0.0046452954
04256520.48acfed2c1f2d42cbd16d4490a10a752.xyz,0.00037598918,0.004435367,0.0015945372,0.0022821564
13770_Tiger_V1.xyz,9.160797e-05,0.000994475,0.0012759347,0.0017155025
m88.xyz,0.00014824273,0.0063773994,0.001816886,0.0031274846
04401088.9f3ad4e5f16f40b3d0f9f958bc79097c.xyz,0.0005520503,0.0084421635,0.0023676266,0.0037024533
03046257.ad385337f0737d9df546596ce7364503.xyz,0.000591195,0.013053696,0.0022853734,0.0036769358
-,0.0004621126734878268,0.0071159266118752205,0.0018356834,0.003519394
